Order Date,"Order
Type",Seller Order ID,Order ID,Inventory,Status,Tracking,Package Count,Qty,"Sale 
Price ","Sale 
price",Shipping Charged,"AMZ
Fee","Total 
Rate","Tax
fees",Shipping,"Unit 
cost","Total 
Cost ",Refund,Profit ,Loss,ROI,"Return
Refund","Veeqo 
Credits",3PL Cost,Net
"Sun, Feb 1",Dropship,111-5518809-8420266,47YY28B,,Delivered,1Z5RE6980332614143,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-2226170-3479456,07BPV46,,Delivered,1Z0966F20339741242,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Sun, Feb 1",Dropship,113-3380634-3284247,21WRWXQ,,Delivered,1Z0966FY0324734011,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,112-3410407-1328211,47YY255,,Delivered,1Z5RE6980332607606,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,111-4631286-5377054,47YY25V,,Delivered,1Z5RE6980332625346,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-0601542-5402625,01LDT9J,,"Delivered
Delivered
Delivered
Delivered
Delivered
Delivered","1Z81V6210362787578
1Z81V6210362787587
1Z81V6210362787596
1Z81V6210362787603
1Z81V6210362787612
1Z81V6210362787621",0,3,$69.45,$208.35,$34.99,$36.50 ,$206.84 ,$0.00,$15.72,$54.76,$180.00 ,,$26.84 ,,,,,,
"Sun, Feb 1",Dropship,114-5136813-5500216,01LDSYH,,Delivered,1Z81V6210362782537,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-0007702-5910620,01LDT7S,,Delivered,1Z81V6210362789512,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-1448738-6593038,25RWV6W,,Delivered,1Z5808E40367434992,0,1,$37.89,$37.89,$0.00,$5.68 ,$32.21 ,$0.00,$10.04,$20.58,$30.62 ,,$1.59 ,,,,,,
"Sun, Feb 1",Dropship,111-3607113-1725864,01LDSTQ,,Delivered,1Z035H9F0300163337,0,1,$61.50,$61.50,$0.00,$9.23 ,$52.28 ,$0.00,$10.04,$40.58,$50.62 ,,$1.66 ,,,,,,
"Sun, Feb 1",Dropship,113-7993611-2760207,07BPVLS,,Delivered,1Z0966F20339734009,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Sun, Feb 1",Dropship,113-4517750-1284234,07BPVKP,,Delivered,1Z0966F20339735160,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-2880595-8902631,01LDSTN,,"Delivered
Delivered","1Z81V6210362774564
1Z81V6210362774573",0,2,$35.99,$71.98,$24.99,$14.55 ,$82.42 ,$0.00,$10.04,$18.37,$46.78 ,,$35.64 ,,,,,,
"Sun, Feb 1",Dropship,111-6845002-1510623,01LDTJJ,,"Delivered
Delivered
Delivered","1Z81V6210362784142
1Z81V6210362784151
1Z81V6210362784160",0,3,$34.99,$104.97,$34.99,$20.99 ,$118.97 ,$0.00,$13.76,$18.37,$68.87 ,,$50.10 ,,,,,,
"Sun, Feb 1",Dropship,112-0241245-7668241,25RWX4Q,,Delivered,1Z5808E40367446603,0,1,$37.89,$37.89,$0.00,$5.68 ,$32.21 ,$0.00,$10.04,$20.58,$30.62 ,,$1.59 ,,,,,,
"Mon, Feb 2",Dropship,114-5570231-6395405,07BPYC9,,Delivered,1Z035H9H0300160854,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Mon, Feb 2",Dropship,111-0302448-0173825,01LDWFP,,Delivered,1Z81V6210362793605,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,114-8409137-6671468,276FRFR,,"Delivered
Delivered","1ZV36W130326111177
1ZV36W130326111195",0,6,$41.50,$249.00,$74.99,$48.60 ,$275.39 ,$0.00,$10.04,$36.18,$227.12 ,,$48.27 ,,,,,,
"Mon, Feb 2",Dropship,114-3631752-0074629,25RWZB9,,Delivered,1Z5808E40367457208,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,112-0292155-5977838,07BPYYV,,"Delivered
Delivered","1Z0966F20339759260
1Z0966F20339759279",0,2,$39.99,$79.98,$24.99,$15.75 ,$89.22 ,$0.00,$10.04,$18.37,$46.78 ,,$42.44 ,,,,,,
"Mon, Feb 2",Dropship,113-8350535-1933819,21WRX3P,,Delivered,1Z035H9C0300192212,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,114-8483296-7622667,01LDW8D,,Delivered,1Z81V6210362796095,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Mon, Feb 2",Dropship,112-0249870-9320243,47YY4YS,,Delivered,1Z5RE6980332653888,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,114-7973311-4201810,01LDXN4,,Delivered,1Z81V6210362813557,0,1,$43.49,$43.49,$0.00,$6.52 ,$36.97 ,$0.00,$10.04,$25.95,$35.99 ,,$0.98 ,,,,,,
"Mon, Feb 2",Dropship,111-8137077-8277822,25RWZ9Q,,Delivered,1Z5808E40367459475,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,113-3272406-1606639,276FR8R,,Delivered,1ZV36W130326117751,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,114-5953745-7655402,01LDW6R,,Delivered,1Z035H9G0300171826,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Mon, Feb 2",Dropship,113-2299332-5096249,25RWZ8T,,"Delivered
Delivered","1Z5808E40367461757
1Z5808E40367461766",0,2,$44.49,$88.98,$29.99,$17.85 ,$101.12 ,$0.00,$14.82,$22.95,$60.72 ,,$40.40 ,,,,,,
"Mon, Feb 2",Dropship,114-5284341-2046609,07BPZQ8,,Delivered,1Z0966F20339762265,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,112-1730744-6983417,01LDXKJ,,Delivered,1Z81V6210362799654,0,2,$18.49,$36.98,$18.99,$8.40 ,$47.57 ,$0.00,$10.04,$15.72,$41.48 ,,$6.09 ,,,,,,
"Mon, Feb 2",Dropship,111-6126526-6589010,07BP2C4,,"Delivered
Delivered
Delivered","1Z0966F20339792572
1Z0966F20339792581
1Z0966F20339792590",0,3,$34.99,$104.97,$34.99,$20.99 ,$118.97 ,$0.00,$13.76,$18.37,$68.87 ,,$50.10 ,,,,,,
"Mon, Feb 2",Dropship,112-5203410-1032224,25RW223,,Delivered,1Z5808E40367467751,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,111-3390592-1971403,25RW22C,,Delivered,1Z5808E40367467448,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Mon, Feb 2",Dropship,114-5975081-5145020,01LD538,,"Delivered
Delivered","1Z81V6210362839333
1Z81V6210362839342",0,2,$54.89,$109.78,$34.99,$21.72 ,$123.05 ,$0.00,$13.40,$34.57,$82.54 ,,$40.51 ,,,,,,
"Mon, Feb 2",Dropship,113-9508488-7137028,276FYRX,,Delivered,1ZV36W130326148736,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Mon, Feb 2",Dropship,111-3523780-5457025,276FYQ5,,Delivered,1ZV36W130326146809,0,3,$18.49,$55.47,$18.99,$11.17 ,$63.29 ,$0.00,$10.04,$15.72,$57.20 ,,$6.09 ,,,,,,
"Mon, Feb 2",Dropship,112-3749219-8853841,21WR3KR,,Delivered,1Z035H9C0300197084,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,113-3051117-6952253,21WR3K7,,Delivered,1Z035H9C0300197173,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,114-3925629-2592233,07BP9H2,,"Delivered
Delivered
Delivered","1Z035H9H0300165359
1Z035H9H0300165368
1Z035H9H0300165377",0,3,$37.89,$113.67,$44.99,$23.80 ,$134.86 ,$0.00,$28.50,$20.39,$89.67 ,,$45.19 ,,,,,,
"Mon, Feb 2",Dropship,113-5091317-7474614,47YY9WD,,Delivered,1Z5RE6980332688216,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,113-5988245-6895424,276FYTH,,"Delivered
Delivered
Delivered
Delivered","1Z81V6210362841937
1Z81V6210362841946
1Z81V6210362841955
1Z81V6210362841964",0,2,$69.99,$139.98,$29.99,$25.50 ,$144.47 ,$0.00,$10.48,$54.76,$120.00 ,,$24.47 ,,,,,,
"Mon, Feb 2",Dropship,112-1215515-9687437,25RXBF6,,Delivered,1Z5808E40367509330,0,1,$44.49,$44.49,$0.00,$6.67 ,$37.82 ,$0.00,$10.04,$23.13,$33.17 ,,$4.65 ,,,,,,
"Mon, Feb 2",Dropship,112-0492167-7076239,07BP9HT,,Delivered,1Z5808E40367504611,0,1,$34.95,$34.95,$0.00,$5.24 ,$29.71 ,$0.00,$10.04,$18.80,$28.84 ,,$0.87 ,,,,,,
"Mon, Feb 2",Dropship,113-7538862-1793820,25RW92Z,,Delivered,1Z5808E40367507332,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,114-1020011-5306640,276FYVS,,Delivered,1ZV36W130326148969,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,112-2714690-5571433,25RW938,,Delivered,1Z5808E40367506806,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,113-7229154-6639426,25RW9YR,,Delivered,1Z5808E40367507430,0,1,$57.10,$57.10,$0.00,$8.57 ,$48.54 ,$0.00,$10.04,$33.60,$43.64 ,,$4.90 ,,,,,,
"Mon, Feb 2",Dropship,112-0134947-0010622,07BP9JS,,Delivered,1Z5808E40367505085,0,1,$34.95,$34.95,$0.00,$5.24 ,$29.71 ,$0.00,$10.04,$18.80,$28.84 ,,$0.87 ,,,,,,
"Mon, Feb 2",Dropship,114-5947483-9584208,25RW9VS,,Delivered,1Z5808E40367507387,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Mon, Feb 2",Dropship,114-6573142-3215452,47YY9VF,,Delivered,1Z5RE6980332688314,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,$10.04,$18.37,$28.41 ,,$14.08 ,,,,,,
"Mon, Feb 2",Dropship,114-8965226-2962637,07BP9XG,,Delivered,1Z0966F20339814217,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,112-6779153-3728237,01LD579,,"Delivered
Delivered","1Z81V6210362843202
1Z81V6210362843220",0,2,$25.05,$50.10,$24.99,$11.26 ,$63.83 ,$0.00,$11.01,$23.21,$57.43 ,,$6.40 ,,,,,,
"Mon, Feb 2",Dropship,114-3916478-5680249,01LD6LY,,Delivered,1Z81V6210362839459,0,1,$75.20,$75.20,$0.00,$8.46 ,$66.74 ,$0.00,$10.04,$49.97,$60.01 ,,$6.73 ,,,,,,
"Mon, Feb 2",Dropship,111-8577724-7944242,47YY9VD,,"Delivered
Delivered","1Z5RE6980332687253
1Z5RE6980332687262",0,2,$43.70,$87.40,$34.99,$18.36 ,$104.03 ,$0.00,$10.04,$14.53,$39.10 ,,$64.93 ,,,,,,
"Mon, Feb 2",Dropship,111-6057412-7361842,276FY6S,,Delivered,1ZV36W130326150974,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,114-4240959-8039454,21WR3QN,,Delivered,1Z0966FY0324760000,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Mon, Feb 2",Dropship,114-1757506-1193855,"47YY9Y6
47Y2GYC ",,Delivered,1Z5RE6980332688743,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$20.08,$115.63,$135.71 ,,($70.48),,,,,,
"Mon, Feb 2",Dropship,111-6485002-7187430,25RXBCJ,,Delivered,1Z5808E40367509027,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,114-0090091-4771407,25RXBCZ,,Delivered,1Z5808E40367509910,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,112-8081989-5189010,01LD6T3,,Delivered,1Z81V6210362839860,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,114-6210373-0603408,21WR3RZ,,Delivered,1Z0966FY0324760135,0,1,$75.20,$75.20,$0.00,$8.46 ,$66.74 ,$0.00,$10.04,$49.97,$60.01 ,,$6.73 ,,,,,,
"Tue, Feb 3",Dropship,111-0323761-4879460,01LD6DW,,Delivered,1Z035H9G0300174510,0,1,$49.80,$49.80,$0.00,$7.47 ,$42.33 ,$0.00,$10.04,$18.37,$28.41 ,,$13.92 ,,,,,,
"Tue, Feb 3",Dropship,114-0439812-4686632,01LD6RC,,Delivered,1Z81V6210362839253,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,111-3259201-0353842,25RW9TL,,Delivered,1Z5808E40367508028,0,1,$49.80,$49.80,$0.00,$7.47 ,$42.33 ,$0.00,$10.04,$18.37,$28.41 ,,$13.92 ,,,,,,
"Tue, Feb 3",Dropship,111-9718323-5751440,25RW973,,Delivered,1Z5808E40367506333,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,111-9995173-0619431,25RW97X,,Delivered,1Z5808E40367507298,0,1,$75.20,$75.20,$0.00,$8.46 ,$66.74 ,$0.00,$10.04,$49.97,$60.01 ,,$6.73 ,,,,,,
"Tue, Feb 3",Dropship,112-8961876-0893806,07BP9TP,,Delivered,1Z0966F20339813021,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,113-7804023-4572250,25RW9ZC,,"Delivered
Delivered","1Z5808E40367506351
1Z5808E40367506360",0,2,$75.20,$150.40,$0.00,$16.92 ,$133.48 ,$0.00,$10.04,$49.97,$109.98 ,,$23.50 ,,,,,,
"Tue, Feb 3",Dropship,113-2069547-9287444,"07BP9KC
07BP9LK",,"Delivered
Delivered
Delivered
Delivered
Delivered
Delivered","1Z0966F20339812371
1Z0966F20339812380
1Z0966F20339813665
1Z0966F20339813674
1Z0966F20339813683
1Z0966F20339813692",0,6,$35.99,$215.94,$64.99,$42.14 ,$238.79 ,$0.00,$28.39,$18.37,$138.61 ,,$100.18 ,,,,,,
"Tue, Feb 3",Dropship,111-7375396-1057855,25RW9LJ,,Delivered,1Z5808E40367504200,0,1,$37.89,$37.89,$0.00,$5.68 ,$32.21 ,$0.00,$10.04,$20.58,$30.62 ,,$1.59 ,,,,,,
"Tue, Feb 3",Dropship,112-7928650-1399407,25RW9Y9,,"Delivered
Delivered","1Z5808E40367506664
1Z5808E40367506673",0,2,$75.20,$150.40,$0.00,$16.92 ,$133.48 ,$0.00,$10.52,$49.97,$110.46 ,,$23.02 ,,,,,,
"Tue, Feb 3",Dropship,114-0136338-1806656,276FYZ6,,Delivered,1ZV36W130326150830,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,114-7362023-1297859,25RW96B,,Delivered,1Z5808E40367508126,0,1,$49.80,$49.80,$0.00,$7.47 ,$42.33 ,$0.00,$10.04,$18.37,$28.41 ,,$13.92 ,,,,,,
"Tue, Feb 3",Dropship,111-8108689-3363419,01LD6R3,,Delivered,1Z81V6210362841044,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,112-0402544-4698605,07BQBFD,,Delivered,1Z0966F20339819776,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,111-5316367-1456224,276FZWW,,Delivered,1ZV36W130326157324,0,1,$73.50,$73.50,$0.00,$8.27 ,$65.23 ,$0.00,$10.04,$49.97,$60.01 ,,$5.22 ,,,,,,
"Tue, Feb 3",Dropship,111-8718246-8321055,25RXDVV,,Delivered,1Z5808E40367524091,0,1,$44.49,$44.49,$0.00,$6.67 ,$37.82 ,$0.00,$10.04,$23.13,$33.17 ,,$4.65 ,,,,,,
"Tue, Feb 3",Dropship,114-0163180-8273070,276F25B,,Delivered,1ZV36W130326164003,0,1,$75.20,$75.20,$0.00,$8.46 ,$66.74 ,$0.00,$10.04,$49.97,$60.01 ,,$6.73 ,,,,,,
"Tue, Feb 3",Dropship,112-9385861-6042638,21WR749,,Delivered,1Z035H9C0300203156,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,$10.04,$18.37,$28.41 ,,$11.53 ,,,,,,
"Tue, Feb 3",Dropship,113-9138016-3275452,07BQRKY,,"Delivered
Delivered","1Z0966F20339896899
1Z0966F20339896906",0,2,$72.50,$145.00,$0.00,$21.75 ,$123.25 ,$0.00,$10.52,$49.97,$110.46 ,,$12.79 ,,,,,,
"Tue, Feb 3",Dropship,112-1904760-0494625,25RXN4Z,,"Delivered
Delivered","1Z5808E40367568384
1Z5808E40367568393",0,2,$41.25,$82.50,$29.99,$16.87 ,$95.62 ,$0.00,$10.75,$24.19,$59.13 ,,$36.49 ,,,,,,
"Tue, Feb 3",Dropship,112-9007463-0400248,25RXN6S,,Delivered,1Z5808E40367572575,0,1,$57.10,$57.10,$0.00,$8.57 ,$48.54 ,$0.00,$10.04,$33.60,$43.64 ,,$4.90 ,,,,,,
"Tue, Feb 3",Dropship,111-0479841-1201864,276F8JS,,Delivered,1ZV36W130326197693,0,1,$43.49,$43.49,$0.00,$6.52 ,$36.97 ,$0.00,$10.04,$25.95,$35.99 ,,$0.98 ,,,,,,
"Tue, Feb 3",Dropship,113-3796452-7809817,01LFHDQ,,Delivered,1ZV36W130326198450,0,2,$23.85,$47.70,$29.99,$11.65 ,$66.04 ,$0.00,$10.04,$17.36,$44.76 ,,$21.28 ,,,,,,
"Tue, Feb 3",Dropship,111-5542853-5046652,01LFHPC,,"Delivered
Delivered","1Z0966F20339886533
1Z0966F20339886551",0,2,$67.10,$134.20,$44.99,$26.88 ,$152.31 ,$0.00,$15.68,$46.85,$109.38 ,,$42.93 ,,,,,,
"Tue, Feb 3",Dropship,111-0627373-1013839,"01LFKSH
01LFK2H",,"Delivered
Delivered","1Z81V6210362924820
1Z81V6210362924811",0,2,$54.89,$109.78,$34.99,$21.72 ,$123.05 ,$0.00,$10.04,$55.39,$120.82 ,,$2.23 ,,,,,,
"Tue, Feb 3",Dropship,113-1434811-3031454,25RXPPB,,Delivered,1Z5808E40367574215,0,1,$37.89,$37.89,$0.00,$5.68 ,$32.21 ,$0.00,$10.04,$20.58,$30.62 ,,$1.59 ,,,,,,
"Tue, Feb 3",Dropship,113-7747923-7047461,07BQPTN,,Delivered,1Z0966F20339893123,0,1,$37.89,$37.89,$0.00,$5.68 ,$32.21 ,$0.00,$10.04,$20.58,$30.62 ,,$1.59 ,,,,,,
"Tue, Feb 3",Dropship,113-0914963-0784257,21WR77V,,Delivered,1Z035H9C0300203370,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,$10.04,$18.37,$28.41 ,,$14.08 ,,,,,,
