Order Date,"Order
Type",Seller Order ID,Order ID,,Status,Tracking,Package Count,Qty,"Sale 
Price ","Sale 
price",Shipping Charged,"AMZ
Fee","Total 
Rate","Tax
fees",Shipping,"Unit 
cost","Total 
Cost ",Refund,Profit ,Loss,ROI,"Return
Refund","Veeqo 
Credits",3PL Cost,Net,Inventory
"Mon, Mar 2",Dropship,112-6137046-2795440,276L5FP,,Delivered,1ZV36W130327076848,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,114-6226408-6021044,01LNSKS,,Delivered,1Z81V6210363887413,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,111-2061362-8566655,276L5DG,,Delivered,1ZV36W130327078104,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,114-5286686-3362650,276L5CR,,Delivered,1ZV36W130327076740,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,10.04,25.95,$35.99 ,,$5.23 ,,,,,,,
"Mon, Mar 2",Dropship,114-7593695-0434669,"01LNSKQ
01LNSLV",,"Delivered
Delivered
Delivered
Delivered
Delivered
Delivered","1Z81V6210363886629
1Z81V6210363886638
1Z81V6210363886647
1Z81V6210363886389
1Z81V6210363886398
1Z81V6210363886405",0,6,$53.50,$321.00,$74.99,$59.40 ,$336.59 ,$0.00,23.96,46.26,$301.52 ,,$35.07 ,,,,,,,
"Mon, Mar 2",Dropship,113-6988208-7717025,01LNSLG,,Delivered,1Z81V6210363886147,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,10.04,25.95,$35.99 ,,$5.23 ,,,,,,,
"Mon, Mar 2",Dropship,111-7850360-2742606,276L5FG,,"Delivered
Delivered","1ZV36W130327077196
1ZV36W130327077203",0,2,$42.50,$85.00,$34.99,$18.00 ,$101.99 ,$0.00,10.04,18.37,$46.78 ,,$55.21 ,,,,,,,
"Mon, Mar 2",Dropship,111-5837084-8259439,51ZQYKC,,Delivered,1Z0AX7130356282543,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,14.64,$24.68 ,,$17.81 ,,,,,,,
"Mon, Mar 2",Dropship,113-9591514-2364247,25R56Z4,,Delivered,1Z5808E40368687575,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,112-9526839-9368209,07BYTT3,,"Delivered
Delivered","1Z0966F20341191387
1Z0966F20341191396",0,2,$42.50,$85.00,$34.99,$18.00 ,$101.99 ,$0.00,10.04,18.37,$46.78 ,,$55.21 ,,,,,,,
"Mon, Mar 2",Dropship,113-7564573-3322629,276L5P6,,Delivered,1ZV36W130327085525,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,111-9269397-0826600,"276L6K5
276L6LK",,"Delivered
Delivered
Delivered
Delivered
Delivered
Delivered","1ZV36W130327083545
1ZV36W130327083554
1ZV36W130327083563
1ZV36W130327087774
1ZV36W130327087783
1ZV36W130327087792",0,6,$53.50,$321.00,$74.99,$59.40 ,$336.59 ,$0.00,23.12,40.58,$266.60 ,,$69.99 ,,,,,,,
"Mon, Mar 2",Dropship,113-1977125-4985833,07BYV73,,Delivered,1Z0966F20341211355,0,1,$74.40,$74.40,$0.00,$11.16 ,$63.24 ,$0.00,10.04,49.97,$60.01 ,,$3.23 ,,,,,,,
"Mon, Mar 2",Dropship,113-0283936-4319475,07BYV7R,,Delivered,1Z0966F20341206281,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,112-8027745-6603402,51ZQYQ5,,Delivered,1Z0AX7130356283908,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,13.97,$24.01 ,,$18.48 ,,,,,,,
"Mon, Mar 2",Dropship,111-6261832-1569053,07BYV3Y,,Delivered,1Z0966F20341203515,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,114-1813915-2549864,47Y47RQ,,Delivered,1Z5RE6980333376211,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,10.04,25.95,$35.99 ,,$5.23 ,,,,,,,
"Mon, Mar 2",Dropship,111-8051135-2322609,47Y47SQ,,Delivered,1Z5RE6980333375383,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,113-6688824-7410609,"21WWCC7
21WWCFD",,"Delivered
Delivered
Delivered
Delivered","1Z0966FY0325227219
1Z0966FY0325227228
1Z0966FY0325227317
1Z0966FY0325227326",0,4,$30.41,$121.64,$44.99,$24.99 ,$141.64 ,$0.00,32.4,25.78,$135.52 ,,$6.12 ,,,,,,,
"Mon, Mar 2",Dropship,112-6864978-6840263,276L6NF,,Delivered,1ZV36W130327092302,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,112-5616790-6103439,"01LNWS9
01LRVDK ",credit 0192506 001 & freight credit 0192506 002,Label,1Z81V6210363921732,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,20.08,69.64,$89.72 ,,($50.41),,,,,,,
"Mon, Mar 2",Dropship,111-4331493-4644219,25R575T,,Delivered,1Z5808E40368694487,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,114-9850329-0224262,47Y483G, ,Delivered,1Z5RE6980333383856,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,112-2855279-9848210,01LNT6W,,"Delivered
Delivered","1Z035H9F0300294151
1Z035H9F0300294160",0,1,$79.49,$79.49,$0.00,$11.92 ,$67.57 ,$0.00,10.04,54.76,$64.80 ,,$2.77 ,,,,,,,
"Mon, Mar 2",Dropship,113-9258278-3001814,01LNT9L,,"Delivered
Delivered","1Z035H9G0300315966
1Z035H9G0300315975",0,2,$49.99,$99.98,$34.99,$20.25 ,$114.72 ,$0.00,10.04,18.37,$46.78 ,,$67.94 ,,,,,,,
"Mon, Mar 2",Dropship,112-0185932-0007406,47Y47X6,,Delivered,1Z5RE6980333376373,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,111-5919074-8289033,25R6BGX,,Delivered,1Z5808E40368708042,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,111-2128135-4769812,01LNT99,,Delivered,1Z81V6210363900344,0,1,$74.40,$74.40,$0.00,$11.16 ,$63.24 ,$0.00,10.04,49.97,$60.01 ,,$3.23 ,,,,,,,
"Mon, Mar 2",Dropship,114-4289016-6761805,276L6YJ,,Delivered,1ZV36W130327091769,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,112-1179667-9547440,21WWB3Z,,"Delivered
Delivered","1Z0966FY0325225837
1Z0966FY0325225846",0,2,$39.99,$79.98,$34.99,$17.25 ,$97.72 ,$0.00,16.2,25.78,$67.76 ,,$29.96 ,,,,,,,
"Mon, Mar 2",Dropship,112-7046406-1279403,21WWB4C,,Delivered,1Z035H9C0300357786,0,1,$62.94,$62.94,$0.00,$9.44 ,$53.50 ,$0.00,10.04,39.42,$49.46 ,,$4.04 ,,,,,,,
"Mon, Mar 2",Dropship,113-9596974-4987400,01LNVNW,,Delivered,1Z81V6210363897260,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,111-3764667-0814649,21WWB7Z,,Delivered,9205590184360200644279,0,1,$25.30,$25.30,$0.00,$3.80 ,$21.51 ,$0.00,10.04,10.15,$20.19 ,,$1.32 ,,,,,,,
"Mon, Mar 2",Dropship,112-9402393-0972238,276L7DD,,Delivered,1ZV36W130327088193,0,1,$35.95,$35.95,$0.00,$5.39 ,$30.56 ,$0.00,10.04,18.37,$28.41 ,,$2.15 ,,,,,,,
"Mon, Mar 2",Dropship,112-4501806-3149861,276L7DB,,Delivered,1ZV36W130327091698,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,112-4768582-9845008,21WWCCZ,,Delivered,1Z0966FY0325226774,0,1,$37.50,$37.50,$0.00,$5.63 ,$31.88 ,$0.00,10.04,18.37,$28.41 ,,$3.47 ,,,,,,,
"Mon, Mar 2",Dropship,111-3984757-7916247,276L7DH,,Delivered,1ZV36W130327088648,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,111-2304769-9125024,01LNWF6,,Delivered,1Z81V6210363904064,0,1,$35.95,$35.95,$0.00,$5.39 ,$30.56 ,$0.00,10.04,18.37,$28.41 ,,$2.15 ,,,,,,,
"Mon, Mar 2",Dropship,114-3089284-1170634,01LNWFY,,"Delivered
Delivered","1Z035H9F0300295589
1Z035H9F0300295605",0,2,$39.99,$79.98,$34.99,$17.25 ,$97.72 ,$0.00,16.2,25.78,$67.76 ,,$29.96 ,,,,,,,
"Mon, Mar 2",Dropship,114-1809499-7529018,47Y48PR,,Delivered,1Z5RE6980333381214,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,112-4990128-6403427,276L7TV,,Delivered,"1ZV36W13YW27097836
276L7TV",0,1,$35.99,$35.99,$0.00,$5.40 ,$30.59 ,$0.00,10.04,9.4,$19.44 ,,$11.15 ,,,,,,,
"Mon, Mar 2",Dropship,112-3371418-9365814,21WWCN5,,Delivered,1Z035H9C0300358669,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,113-8202386-3089046,07BYX37,,Delivered,1Z035H9H0300309748,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,112-8062418-3569059,25R59ZV,,Delivered,1Z5808E40368704215,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,114-4644160-2929019,25R595C,,Delivered,1Z5808E40368705545,0,1,$35.95,$35.95,$0.00,$5.39 ,$30.56 ,$0.00,10.04,18.37,$28.41 ,,$2.15 ,,,,,,,
"Mon, Mar 2",Dropship,112-2240859-3277059,276L8DV,,Delivered,1ZV36W130327098226,0,1,$35.95,$35.95,$0.00,$5.39 ,$30.56 ,$0.00,10.04,18.37,$28.41 ,,$2.15 ,,,,,,,
"Mon, Mar 2",Dropship,114-2520154-9061017,47Y48X5,,"Delivered
Delivered","1Z5RE6980333381590
1Z5RE6980333381607",0,2,$49.99,$99.98,$34.99,$20.25 ,$114.72 ,$0.00,10.04,18.37,$46.78 ,,$67.94 ,,,,,,,
"Mon, Mar 2",Dropship,112-3086347-9073066,47Y483Z,,"Delivered
Delivered","1Z5RE6980333383561
1Z5RE6980333383570",0,2,$49.99,$99.98,$34.99,$20.25 ,$114.72 ,$0.00,10.04,18.37,$46.78 ,,$67.94 ,,,,,,,
"Mon, Mar 2",Dropship,111-1868500-0913017,47Y483Y,,Delivered,1Z5RE6980333383918,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,112-7673359-8096239,47Y4833,,Delivered,1Z5RE6980333384051,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,113-9136587-5861000,01LNW55,,Delivered,1Z81V6210363915623,0,1,$37.50,$37.50,$0.00,$5.63 ,$31.88 ,$0.00,10.04,18.37,$28.41 ,,$3.47 ,,,,,,,
"Mon, Mar 2",Dropship,113-8948743-4677806,07BYYXL,,Delivered,1Z0966F20341236409,0,1,$74.40,$74.40,$0.00,$11.16 ,$63.24 ,$0.00,10.04,49.97,$60.01 ,,$3.23 ,,,,,,,
"Mon, Mar 2",Dropship,113-3845862-1410654,276NFX2,,Delivered,1ZV36W130327131377,0,1,$41.99,$41.99,$0.00,$6.30 ,$35.69 ,$0.00,10.04,23.13,$33.17 ,,$2.52 ,,,,,,,
"Mon, Mar 2",Dropship,111-6759916-2922609,21WWHQ9,,"Delivered
Delivered","1Z035H9C0300366918
1Z035H9C0300366927",0,2,$39.99,$79.98,$34.99,$17.25 ,$97.72 ,$0.00,16.2,25.78,$67.76 ,,$29.96 ,,,,,,,
"Mon, Mar 2",Dropship,113-6342769-3652261,21WWHSF,,Delivered,1Z0966FY0325246887,0,1,$35.95,$35.95,$0.00,$5.39 ,$30.56 ,$0.00,10.04,18.37,$28.41 ,,$2.15 ,,,,,,,
